;TT_TU
0.1111111111111111;5.1
0.2222222222222222;7.94444444444444
0.3333333333333333;10.4
0.4444444444444444;12.9
0.5555555555555556;15.6
0.6666666666666666;18.7
0.7777777777777778;21.3
0.8888888888888888;24.4
